slaughterhouse_id,year,supplier_type,distance_km,moran_i,z_score,p_value,connected_share,selected
SH_MT_01,2013,direct,50.0,0.9133250071678994,2.533125917436747,0.02,0.5625,False
SH_MT_01,2013,direct,60.0,0.4653121898103882,1.8901440438658053,0.12,0.8125,False
SH_MT_01,2013,direct,70.0,0.3315601199161694,1.2258784076283247,0.28,0.875,False
SH_MT_01,2013,direct,80.0,0.3254874777578595,1.4599158995488626,0.23,0.875,False
SH_MT_01,2013,direct,90.0,0.32959619686760905,2.398425126187364,0.13,0.875,False
SH_MT_01,2013,direct,100.0,0.34282517781893324,2.4836793843821376,0.05,0.875,False
SH_MT_01,2013,direct,110.0,0.37008300915539377,2.6480253408622874,0.06,0.875,False
SH_MT_01,2013,direct,120.0,0.3052958445860849,2.4479836581439596,0.04,0.9375,False
SH_MT_01,2013,direct,130.0,0.2843326987954984,2.6709809659830266,0.05,0.9375,True
SH_MT_01,2013,direct,140.0,0.24207872332871602,2.6135419689298356,0.04,0.9375,False
SH_MT_01,2013,direct,150.0,0.1422707280483026,2.1286122850536047,0.28,0.9375,False
SH_MT_01,2013,direct,160.0,0.06886273722479362,1.565191884828823,0.66,0.9375,False
SH_MT_01,2013,direct,170.0,0.15212379683678615,1.8436029181280778,0.27,1.0,False
SH_MT_01,2013,direct,180.0,0.03308572013698946,1.2566584475969562,0.76,1.0,False
SH_MT_01,2013,direct,190.0,0.017704963029316408,1.116073846191839,0.91,1.0,False
SH_MT_01,2013,direct,200.0,-0.06832347739793403,-0.012767767444127729,0.61,1.0,False
SH_MT_01,2013,direct,210.0,-0.08772873163023263,-0.42660520505036414,0.35,1.0,False
SH_MT_01,2013,direct,220.0,-0.06051644714715336,0.25283835649786107,0.62,1.0,False
SH_MT_01,2013,tier1_indirect,50.0,,,,,True
SH_MT_01,2014,direct,50.0,0.7134816149505481,3.526007632889063,0.02,0.7368421052631579,True
SH_MT_01,2014,direct,60.0,0.5226189997599555,2.3140918334318967,0.03,0.8421052631578947,False
SH_MT_01,2014,direct,70.0,0.466495004646665,2.7446153674257894,0.05,0.8947368421052632,False
SH_MT_01,2014,direct,80.0,0.4201536474170593,2.4834268566430198,0.02,0.8947368421052632,False
SH_MT_01,2014,direct,90.0,0.26164516038186464,2.0965472567966947,0.1,0.8947368421052632,False
SH_MT_01,2014,direct,100.0,0.2742260327492694,2.288294791548851,0.08,0.8947368421052632,False
SH_MT_01,2014,direct,110.0,0.26755368225031834,2.926194228393654,0.05,0.8947368421052632,False
SH_MT_01,2014,direct,120.0,0.15989844443985746,2.1240605248468123,0.2,0.9473684210526315,False
SH_MT_01,2014,direct,130.0,0.1368013206837764,1.9656359840383866,0.29,0.9473684210526315,False
SH_MT_01,2014,direct,140.0,0.13223639502837553,2.509201480125204,0.2,0.9473684210526315,False
SH_MT_01,2014,direct,150.0,0.08504902308816208,1.955168490293793,0.38,0.9473684210526315,False
SH_MT_01,2014,direct,160.0,0.04768985992342801,1.435006527550786,0.67,0.9473684210526315,False
SH_MT_01,2014,direct,170.0,0.12034717374955198,2.398212096123593,0.27,1.0,False
SH_MT_01,2014,direct,180.0,-0.0007742212759464298,0.8965604047987578,0.99,1.0,False
SH_MT_01,2014,direct,190.0,-0.015838186713830794,0.7515116574638583,0.91,1.0,False
SH_MT_01,2014,direct,200.0,-0.06833153728850425,-0.39696719165899663,0.4,1.0,False
SH_MT_01,2014,direct,210.0,-0.07028332375394136,-0.4075867121431731,0.32,1.0,False
SH_MT_01,2014,direct,220.0,-0.06454354729887393,-0.36575503512617846,0.38,1.0,False
SH_MT_01,2014,tier1_indirect,160.0,,,,,True
SH_MT_01,2015,direct,50.0,0.9771818580540472,3.9454188980388536,0.01,0.75,False
SH_MT_01,2015,direct,60.0,0.847864164432529,3.4290614547891325,0.01,0.9375,False
SH_MT_01,2015,direct,70.0,0.8209996362509597,4.4509512964980384,0.01,1.0,False
SH_MT_01,2015,direct,80.0,0.717918746034526,4.507756892740365,0.01,1.0,False
SH_MT_01,2015,direct,90.0,0.5458458368056293,4.9124278013994775,0.01,1.0,False
SH_MT_01,2015,direct,100.0,0.5400146975141249,5.780967187815024,0.01,1.0,True
SH_MT_01,2015,direct,110.0,0.4908649742606389,4.484310114068839,0.01,1.0,False
SH_MT_01,2015,direct,120.0,0.3789676840247724,3.9441802806339874,0.01,1.0,False
SH_MT_01,2015,direct,130.0,0.3271333662497929,4.148893805163251,0.01,1.0,False
SH_MT_01,2015,direct,140.0,0.2480522416989606,3.8585730278893067,0.01,1.0,False
SH_MT_01,2015,direct,150.0,0.15897407854680815,4.107522842214862,0.05,1.0,False
SH_MT_01,2015,direct,160.0,0.06612212460502166,1.964802717514309,0.5,1.0,False
SH_MT_01,2015,direct,170.0,-0.01535065280804702,0.8290661835193028,0.95,1.0,False
SH_MT_01,2015,direct,180.0,-0.030002171012450292,1.0850469320416927,0.9,1.0,False
SH_MT_01,2015,direct,190.0,-0.05879047793741906,0.11292533492124719,0.58,1.0,False
SH_MT_01,2015,direct,200.0,-0.07520633015028587,-0.3398357791046738,0.41,1.0,False
SH_MT_01,2015,direct,210.0,-0.09201537389595646,-0.8302161509990476,0.15,1.0,False
SH_MT_01,2015,direct,220.0,-0.09590682694917003,-1.2646729007146582,0.1,1.0,False
SH_MT_01,2015,tier1_indirect,50.0,,,,0.0,False
SH_MT_01,2015,tier1_indirect,60.0,,,,0.0,False
SH_MT_01,2015,tier1_indirect,70.0,,,,0.0,False
SH_MT_01,2015,tier1_indirect,80.0,,,,0.0,False
SH_MT_01,2015,tier1_indirect,90.0,,,,0.0,False
SH_MT_01,2015,tier1_indirect,100.0,,,,0.0,False
SH_MT_01,2015,tier1_indirect,110.0,-0.5839874411302982,-0.31812910910967934,0.68,0.4,False
SH_MT_01,2015,tier1_indirect,120.0,-0.823910333364115,-0.8491817426891591,0.54,0.8,False
SH_MT_01,2015,tier1_indirect,130.0,-0.823910333364115,-0.8200488070240916,0.63,0.8,False
SH_MT_01,2015,tier1_indirect,140.0,-0.823910333364115,-0.7232943040154237,0.54,0.8,False
SH_MT_01,2015,tier1_indirect,150.0,-0.823910333364115,-0.7507296241263702,0.54,0.8,False
SH_MT_01,2015,tier1_indirect,160.0,-0.823910333364115,-0.7274727186909543,0.59,0.8,False
SH_MT_01,2015,tier1_indirect,170.0,-0.823910333364115,-0.7308762122757572,0.53,0.8,False
SH_MT_01,2015,tier1_indirect,180.0,-0.823910333364115,-0.5194004944353625,0.57,0.8,True
SH_MT_01,2015,tier1_indirect,190.0,-0.823910333364115,-0.9172325879389936,0.54,0.8,False
SH_MT_01,2015,tier1_indirect,200.0,-0.823910333364115,-0.7888293931790912,0.62,0.8,False
SH_MT_01,2015,tier1_indirect,210.0,-0.823910333364115,-0.8477265921274835,0.49,0.8,False
SH_MT_01,2015,tier1_indirect,220.0,-0.9831471049958447,-1.2394993497193125,0.11,1.0,False
SH_MT_01,2016,direct,50.0,0.6348329621380846,1.8731287044310319,0.12,0.7142857142857143,False
SH_MT_01,2016,direct,60.0,0.43169265033407567,1.6547761741157205,0.25,0.7142857142857143,False
SH_MT_01,2016,direct,70.0,0.6053223399548565,2.8582801483024385,0.04,0.7857142857142857,False
SH_MT_01,2016,direct,80.0,0.5560111133607794,2.413903666013011,0.03,0.7857142857142857,False
SH_MT_01,2016,direct,90.0,0.5209011420815429,3.2573712983325334,0.02,0.7857142857142857,False
SH_MT_01,2016,direct,100.0,0.5209011420815429,2.9896842360112528,0.02,0.7857142857142857,False
SH_MT_01,2016,direct,110.0,0.580237789925986,3.9695876640684937,0.01,0.7857142857142857,True
SH_MT_01,2016,direct,120.0,0.3685210275234403,3.2718233253458453,0.01,0.8571428571428571,False
SH_MT_01,2016,direct,130.0,0.1460936458987684,1.8092229168031082,0.41,0.9285714285714286,False
SH_MT_01,2016,direct,140.0,0.10902882209489488,1.353686273880251,0.53,0.9285714285714286,False
SH_MT_01,2016,direct,150.0,0.12388185098467204,1.7977562452102567,0.4,0.9285714285714286,False
SH_MT_01,2016,direct,160.0,0.014537195667485204,0.8285135054149897,0.93,0.9285714285714286,False
SH_MT_01,2016,direct,170.0,0.13696183250470553,1.8002195337888078,0.35,1.0,False
SH_MT_01,2016,direct,180.0,0.11429045465793794,1.3378674849496315,0.43,1.0,False
SH_MT_01,2016,direct,190.0,0.09448011239770704,1.717077782755076,0.53,1.0,False
SH_MT_01,2016,direct,200.0,0.05002587118400034,1.4036137912688575,0.77,1.0,False
SH_MT_01,2016,direct,210.0,0.05291197048435357,1.3656222922009444,0.73,1.0,False
SH_MT_01,2016,direct,220.0,0.05158840231780099,1.5505102421331247,0.63,1.0,False
SH_MT_01,2016,tier1_indirect,50.0,-1.0936914428482196,-0.874418013024319,0.36,0.4,False
SH_MT_01,2016,tier1_indirect,60.0,-1.0936914428482196,-0.9745056772885258,0.33,0.4,False
SH_MT_01,2016,tier1_indirect,70.0,-1.0936914428482196,-0.9015817522240306,0.37,0.4,False
SH_MT_01,2016,tier1_indirect,80.0,-1.014053716427233,-1.3747534359966482,0.15,0.6,False
SH_MT_01,2016,tier1_indirect,90.0,-1.014053716427233,-1.4270574325564023,0.11,0.6,False
SH_MT_01,2016,tier1_indirect,100.0,-0.36151016725657564,-0.2553419254870334,0.75,0.6,False
SH_MT_01,2016,tier1_indirect,110.0,-0.1832361718370463,0.3368828038698392,0.58,0.8,False
SH_MT_01,2016,tier1_indirect,120.0,-0.1832361718370463,0.248230199941704,0.55,0.8,False
SH_MT_01,2016,tier1_indirect,130.0,-0.1832361718370463,0.3443200646093791,0.6,0.8,False
SH_MT_01,2016,tier1_indirect,140.0,-0.1832361718370463,0.3432356263254005,0.58,0.8,False
SH_MT_01,2016,tier1_indirect,150.0,0.01401034075924773,1.0904099142371477,0.95,1.0,True
SH_MT_01,2016,tier1_indirect,160.0,-0.057316607675758156,1.062772152779509,0.85,1.0,False
SH_MT_01,2016,tier1_indirect,170.0,-0.20465507668818092,0.3333113001950596,0.6,1.0,False
SH_MT_01,2016,tier1_indirect,180.0,-0.20465507668818092,0.3759060421404913,0.57,1.0,False
SH_MT_01,2016,tier1_indirect,190.0,-0.20465507668818092,0.33412315776537066,0.59,1.0,False
SH_MT_01,2016,tier1_indirect,200.0,-0.20465507668818092,0.44082677046308816,0.65,1.0,False
SH_MT_01,2016,tier1_indirect,210.0,-0.20465507668818092,0.4915271389659908,0.63,1.0,False
SH_MT_01,2016,tier1_indirect,220.0,-0.20465507668818092,0.3261000189317591,0.58,1.0,False
SH_MT_01,2017,direct,50.0,0.6508604578078905,2.188159799896362,0.06,0.7333333333333333,False
SH_MT_01,2017,direct,60.0,0.5769727107286211,2.5422975219556996,0.03,0.8,False
SH_MT_01,2017,direct,70.0,0.5878095492961539,3.4741307141655904,0.01,0.8,False
SH_MT_01,2017,direct,80.0,0.564802541130916,3.2570507070980192,0.02,0.8,False
SH_MT_01,2017,direct,90.0,0.39111547696767135,2.933045062347552,0.05,0.8666666666666667,False
SH_MT_01,2017,direct,100.0,0.3823505618864518,3.4952878410607395,0.02,0.8666666666666667,True
SH_MT_01,2017,direct,110.0,0.25021420032015457,2.501735730885792,0.07,0.8666666666666667,False
SH_MT_01,2017,direct,120.0,0.10173122418506998,1.2044813063773592,0.46,0.9333333333333333,False
SH_MT_01,2017,direct,130.0,0.09073423456140062,1.2249808630818675,0.59,0.9333333333333333,False
SH_MT_01,2017,direct,140.0,0.10080222375549808,1.3341785516266915,0.57,0.9333333333333333,False
SH_MT_01,2017,direct,150.0,-0.010120500784924682,0.4808836003721519,0.93,0.9333333333333333,False
