slaughterhouse_id,year,paper_analogue_area_ha,radial_buffer_area_ha,supplier_hull_proxy_area_ha,radial_overestimate_percent,note
SH_MT_01,2013,2388463.0164997666,18049080.583914746,9586388.490890026,655.6776244484298,"Supplier hull is a transparent proxy, not a reconstruction of the unpublished cost-distance parameters."
SH_MT_01,2014,162933.35412671365,18049080.583914746,9586388.490890026,10977.584869380356,"Supplier hull is a transparent proxy, not a reconstruction of the unpublished cost-distance parameters."
SH_MT_01,2015,1074144.3149313491,12641683.995868435,4842262.656517595,1076.9074062153736,"Supplier hull is a transparent proxy, not a reconstruction of the unpublished cost-distance parameters."
SH_MT_01,2016,639916.4577790902,18049080.583914746,9408078.689355498,2720.53701924722,"Supplier hull is a transparent proxy, not a reconstruction of the unpublished cost-distance parameters."
SH_MT_01,2017,682979.7947196867,18049080.583914746,8458097.024067085,2542.6961270973725,"Supplier hull is a transparent proxy, not a reconstruction of the unpublished cost-distance parameters."
SH_MT_01,2018,95973.44678996336,18049080.583914746,9586388.490890026,18706.327361999327,"Supplier hull is a transparent proxy, not a reconstruction of the unpublished cost-distance parameters."
SH_MT_02,2013,4932253.140897042,22911704.482275236,10584198.84289665,364.5281543296503,"Supplier hull is a transparent proxy, not a reconstruction of the unpublished cost-distance parameters."
SH_MT_02,2014,3400488.1923879525,22911704.482275236,9892823.567412207,573.7769163134709,"Supplier hull is a transparent proxy, not a reconstruction of the unpublished cost-distance parameters."
SH_MT_02,2015,1886634.68743802,14993274.21515048,7987273.363146504,694.7099836010538,"Supplier hull is a transparent proxy, not a reconstruction of the unpublished cost-distance parameters."
SH_MT_02,2016,5375743.735991426,22911704.482275236,10584198.84289665,326.20529562966095,"Supplier hull is a transparent proxy, not a reconstruction of the unpublished cost-distance parameters."
SH_MT_02,2017,1274859.503659601,22911704.482275236,9808326.49231124,1697.1944686065472,"Supplier hull is a transparent proxy, not a reconstruction of the unpublished cost-distance parameters."
SH_MT_02,2018,4932253.140897042,22911704.482275236,10584198.84289665,364.5281543296503,"Supplier hull is a transparent proxy, not a reconstruction of the unpublished cost-distance parameters."
SH_MT_03,2013,698545.9302258905,7954528.508322034,5400323.607130991,1038.7266268589897,"Supplier hull is a transparent proxy, not a reconstruction of the unpublished cost-distance parameters."
SH_MT_03,2014,381709.7523282633,7954528.508322034,4025745.5477472343,1983.9206909969873,"Supplier hull is a transparent proxy, not a reconstruction of the unpublished cost-distance parameters."
SH_MT_03,2015,1314394.2197334666,7954528.508322034,5361099.51860151,505.1859015277058,"Supplier hull is a transparent proxy, not a reconstruction of the unpublished cost-distance parameters."
